State,"All Ages, 2012","Ages 0-20, 2012","Ages 21-34, 2012","Ages 35+, 2012","Male, 2012","Female, 2012",Location,"All Ages, 2014","Ages 0-20, 2014","Ages 21-34, 2014","Ages 35+, 2014","Male, 2014","Female, 2014"
United States,3.3,1.3,6.7,3.1,5.2,1.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""United States"",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}",3.1,1.2,6.2,3,4.9,1.4
Alabama,5.5,2.7,10.3,5.0,8.4,2.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}', 'latitude': '32.84057234800002', 'needs_recoding': False, 'longitude': '-86.63185738799996'}",5.5,2.1,10,5.5,8.6,2.6
Florida,3.7,1.2,8.0,3.3,5.7,1.7,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Florida"",""zip"":""""}', 'latitude': '28.932042722000062', 'needs_recoding': False, 'longitude': '-81.92895768899996'}",3.5,1.2,7.4,3.1,5.4,1.7
Georgia,3.0,1.0,5.8,3.1,4.9,1.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Georgia"",""zip"":""""}', 'latitude': '32.839683200000024', 'needs_recoding': False, 'longitude': '-83.62757885599996'}",2.7,0.8,5.2,2.9,4.7,0.9
Kentucky,4.0,1.8,7.2,3.7,6.5,1.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Kentucky"",""zip"":""""}', 'latitude': '37.64597313300004', 'needs_recoding': False, 'longitude': '-84.77496771599994'}",3.9,2,7.8,3.4,6.5,1.3
Mississippi,6.1,2.6,12.0,5.7,9.8,2.7,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Mississippi"",""zip"":""""}', 'latitude': '32.745513440000025', 'needs_recoding': False, 'longitude': '-89.53802722999995'}",6,2.8,10.8,5.8,9.4,2.8
North Carolina,4.2,1.7,8.0,4.0,6.8,1.7,"{'human_address': '{""address"":"""",""city"":"""",""state"":""North Carolina"",""zip"":""""}', 'latitude': '35.466220159000045', 'needs_recoding': False, 'longitude': '-79.15924997399998'}",3.8,1.4,7.7,3.6,6.3,1.5
South Carolina,7.6,2.8,14.2,7.6,12.3,3.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""South Carolina"",""zip"":""""}', 'latitude': '33.99882216300006', 'needs_recoding': False, 'longitude': '-81.04536596899999'}",5.8,2,12.4,5.3,9,2.9
Tennessee,4.6,1.6,8.0,4.9,7.5,1.8,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Tennessee"",""zip"":""""}', 'latitude': '35.68094072700006', 'needs_recoding': False, 'longitude': '-85.77448666899994'}",4.1,,8.2,4.1,6.8,1.5
